RID,GroupAssignment,Age_Yrs,Year_of_Study,Live_Pets,Consumer_BARK,Stage,PANAS_PA,SHS,SCS,Engagement,FS,Stress,Homesick,Lonely,PANAS_NA
90,Indirect,22,4,1,1,pre,4.4,4,5.3,2,6.25,3,1,1.4,1
90,Indirect,22,4,1,1,post,2.6,3,4.5,2,6,3,1,1.45,1
91,Control,20,3,2,1,pre,4,4,5.2,2,6.125,2,1,1.35,1.2
91,Control,20,3,2,1,post,4,3.6666666666666665,5,2,6.125,4,1,1.1,1
92,Direct,19,2,1,1,pre,3.8,4,5.15,3,5.875,4,1,1.6,2.2
92,Direct,19,2,1,1,post,3.6,4,5.3,3,5.75,4,1,1.35,2.2
93,Indirect,19,2,2,1,pre,3.6,1.6666666666666667,3.9,4,5.25,3,1,2.1052631578947367,2.2
93,Indirect,19,2,2,1,post,4.4,2.6666666666666665,3.75,3,5.375,2,1,1.95,1.6
94,Control,19,1,2,1,pre,3.6,3,4.2,3,5.875,3,1,2.3,1.6
94,Control,19,1,2,1,post,3.8,3.3333333333333335,4.05,3,5.75,2,1,2.15,1.2
95,Direct,19,1,1,1,pre,4.2,3.3333333333333335,4.8,2,6.5,4,1,1.7,1.8
95,Direct,19,1,1,1,post,3.8,4,5.35,2,6.625,2,1,1.3157894736842106,1
96,Indirect,18,1,1,1,pre,3.2,4.666666666666667,4.5,4,6.125,4,1,1.85,1.2
96,Indirect,18,1,1,1,post,3,4.333333333333333,4.65,4,6.125,4,1,1.85,1.8
97,Control,19,1,2,1,pre,4.2,3,3.3,3,6.375,3,5,2.95,3
97,Control,19,1,2,1,post,4,3,3.25,3,6.375,3,5,2.8,2.6
98,Direct,21,1,2,1,pre,3.2,4.333333333333333,5.55,2,6.375,3,1,1.3157894736842106,1
98,Direct,21,1,2,1,post,2.6,4.333333333333333,5.65,2,6.5,1,1,1.3,1
99,Indirect,20,3,2,1,pre,3.6,4,5,3,5.75,3,1,1.4,1.2
99,Indirect,20,3,2,1,post,3.4,4,4.85,2,6,2,1,1.35,1
100,Control,19,2,2,1,pre,2.8,1.3333333333333333,3.3,2,3.875,4,3,2.7,3.4
100,Control,19,2,2,1,post,3,1.3333333333333333,3.05,2,4.625,4,5,2.9,3.6
101,Direct,19,2,2,1,pre,3.2,2.6666666666666665,3.85,2,4.75,2,2,2.15,2.2
101,Direct,19,2,2,1,post,3.4,2.6666666666666665,3.8,2,4.5,1,1,2.1,2
102,Indirect,19,1,2,1,pre,2.8,1.3333333333333333,2.75,3,4,4,3,2.65,2.6
102,Indirect,19,1,2,1,post,2.8,2.6666666666666665,3.25,3,5,2,3,2.5,1.8
103,Control,20,3,2,1,pre,3.8,3.6666666666666665,3.55,1,6.5,4,2,2.75,1.2
103,Control,20,3,2,1,post,3.8,3.6666666666666665,4,1,6.5,2,1,2.5,1
104,Direct,23,4,2,1,pre,3.4,4.333333333333333,5.45,2,6.5,2,2,1.3,1
104,Direct,23,4,2,1,post,4,4.666666666666667,5.45,2,6.25,1,1,1.1,1
105,Indirect,26,5,2,1,pre,4.4,5,5.8,5,6.75,1,1,1.1,1
105,Indirect,26,5,2,1,post,4.4,5,5.7894736842105265,5,6.75,1,1,1.2,1
106,Control,19,2,2,1,pre,3.8,3.6666666666666665,4.3,2,6.25,2,1,2.05,1.4
106,Control,19,2,2,1,post,3.8,4,4.45,2,6.125,3,1,2.05,1.6
107,Direct,18,1,2,1,pre,4,5,5.8,3,6.875,2,1,1.25,1.6
107,Direct,18,1,2,1,post,3.8,5,5.9,2,7,2,2,1.15,1.6
108,Indirect,19,2,1,1,pre,3.4,4,4.6,3,6.125,2,1,1.7,1.6
108,Indirect,19,2,1,1,post,2.8,3.3333333333333335,4.8,4,6.125,2,2,1.8,1.4
109,Control,18,1,2,1,pre,3.4,4.666666666666667,4.45,3,6.25,4,5,2.1,1.4
109,Control,18,1,2,1,post,2.4,5,4.45,3,6.375,2,5,2.2,1.2
110,Direct,19,2,2,1,pre,3,3,4.55,3,5.125,3,2,1.5,1.6
110,Direct,19,2,2,1,post,2.2,3.3333333333333335,4.9,3,5.5,2,2,1.55,1.2
111,Indirect,18,1,2,1,pre,3.2,2,2.9,3,5.125,2,2,3.2,3.4
111,Indirect,18,1,2,1,post,2.8,2,3.1052631578947367,4,4.875,2,3,3.15,3.4
112,Control,19,2,NA,5,pre,3.6,4.666666666666667,5.75,2,6.375,2,5,1.3,1.4
112,Control,19,2,NA,5,post,3.6,4.666666666666667,5.45,1,6.25,3,2,1.45,1
113,Direct,19,2,1,1,pre,3.2,3.3333333333333335,3.6,4,5.125,3,1,2.55,1.4
113,Direct,19,2,1,1,post,3.2,3,3.9,4,5.625,2,1,2.35,1
114,Indirect,20,1,1,1,pre,3.4,3.6666666666666665,5.4,3,6.125,3,1,1.45,1.2
114,Indirect,20,1,1,1,post,3.4,3.6666666666666665,5.3,4,6.125,2,1,1.4,1
115,Control,18,1,2,1,pre,3.4,4.333333333333333,5.55,3,6.5,1,3,1.35,1.4
115,Control,18,1,2,1,post,3.6,4.333333333333333,3,3,6.5,1,2,1.15,1.4
116,Direct,19,2,1,1,pre,3.2,3,4.15,4,5.125,3,1,2.4,2.8
116,Direct,19,2,1,1,post,3,3.6666666666666665,4.15,4,4.875,2,1,2.4,2
117,Indirect,21,2,2,1,pre,4,3.6666666666666665,5.1,1,6,3,2,1.9,2
