"","RID","GroupAssignment","Age_Yrs","Year_of_Study","Live_Pets","Consumer_BARK","FS_pre","FS_post","PANAS_PA_pre","PANAS_PA_post","SCS_pre","SCS_post","SHS_pre","SHS_post","Engagement_pre","Engagement_post","Stress_pre","Stress_post","Homesick_pre","Homesick_post","Lonely_pre","Lonely_post","PANAS_NA_pre","PANAS_NA_post"
"148",148,"Control",18,1,2,1,4.75,5.5,1.6,1.6,3.15,3.7,2.33333333333333,3.66666666666667,3,4,5,4,5,4,3.4,2.9,2,1.2
"149",149,"Direct",19,2,2,2,5.875,6,3,3.2,5.25,5.35,4.33333333333333,4.66666666666667,2,2,2,1,1,1,1.15,1.05,1.2,1.2
"150",150,"Indirect",23,4,2,1,5.375,5.375,2.6,2.8,4.05,4,4,4,2,2,3,2,2,2,2.5,2.2,1.8,1.6
"151",151,"Control",18,1,2,2,5.5,5.25,3.8,3.6,4.7,4.7,3.66666666666667,3.66666666666667,2,2,3,3,1,1,1.5,1.4,1.8,1.6
"152",152,"Direct",19,2,2,1,6.125,5.75,3.6,3.6,5.05,5.1,3.66666666666667,4,1,1,4,3,2,4,1.5,1.3,1.6,1.2
"153",153,"Indirect",19,2,2,1,6.25,6.25,3.4,3.6,5.25,5.35,3.66666666666667,4,3,2,3,2,1,1,1.65,1.5,1.6,1.2
"154",154,"Control",23,3,1,1,5.875,6,3.2,3.2,5.05,4.9,4.66666666666667,4.33333333333333,2,2,2,2,3,2,1.6,1.65,2.6,2.6
"155",155,"Direct",18,1,1,1,5.875,5.625,2.8,3.2,4.75,4.47368421052632,3.33333333333333,3.66666666666667,4,3,2,1,1,1,2.15,1.95,1.8,1
"156",156,"Indirect",21,4,1,2,5.375,5.375,3.2,3.4,4.1,4.15,3.33333333333333,4,3,3,4,4,4,3,2.4,2.15,2.4,2
"157",157,"Control",18,1,2,1,4,4,2.8,2.6,2.65,2.9,2.33333333333333,2.33333333333333,5,5,5,5,3,4,3.05,3.1,3,2.8
"158",158,"Direct",20,3,2,1,6,6.25,2.6,2.8,3.8,4.26315789473684,4.33333333333333,4.66666666666667,4,2,4,2,4,1,2.65,2.35,1.8,1.8
"159",159,"Indirect",18,1,2,1,5.75,5.75,4.6,4.2,3.45,3.35,4,4,2,2,3,2,3,1,3.05,2.75,2,1
"160",160,"Control",23,4,2,1,5.5,5.875,3.6,3.6,4.25,4.25,3.33333333333333,4,3,2,4,3,1,2,2,2.15,1.4,1.2
"161",161,"Direct",18,1,1,1,6.5,6.375,3.8,2,4.7,5,3.66666666666667,3.33333333333333,3,3,3,2,1,1,1.55,1.6,2.2,1.6
"162",162,"Indirect",19,2,2,1,5.375,5.25,2.8,2.6,3.75,3.8,3.66666666666667,4,3,3,3,1,1,1,2.4,2.25,1.6,1.4
"163",163,"Control",18,1,2,1,4.5,4.5,2.8,3.4,2.85,2.95,2.33333333333333,2.33333333333333,4,5,4,3,1,1,3.15,2.9,1.2,1
"164",164,"Direct",20,3,2,1,6.5,6.5,4,4.2,4.65,5.05,3.33333333333333,3.33333333333333,3,2,5,2,2,1,1.65,1.5,2.2,1.8
"165",165,"Indirect",18,1,2,1,6.125,6.125,3.4,4,4.95,5.3,3,3.66666666666667,2,2,4,3,3,2,1.8,1.55,1.8,1
